//v variables
v anglais
v espagnol
v italien
v norvegien
v japonais
v the
v cafe
v lait
v jus
v eau
v chien
v renard
v cheval
v zebre
v escargot
v jaune
v verte
v bleue
v blanche
v rouge
v peintre
v sculpteur
v diplomate
v violoniste
v docteur
//d domaines
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 3
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
d 1 2 3 4 5
//c contraintes
cv anglais rouge
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv the cafe
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv lait the
c 3 1
c 3 4
c 3 5
c 3 2
cv the jus
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv the eau
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv lait cafe
c 3 1
c 3 4
c 3 5
cv cafe jus
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv cafe eau
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv lait jus
c 3 1
c 3 4
c 3 5
c 3 2
cv lait eau
c 3 1
c 3 4
c 3 5
c 3 2
cv jus eau
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv chien renard
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv chien cheval
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv chien zebre
c 1 2
c 1 3
c 1 4
c 1 5
c 2 3
c 2 4
c 2 5
c 3 1
c 3 4
c 3 5
c 4 1
c 4 2
c 4 5
c 5 1
c 5 2
c 5 3
cv chien escargot
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv renard cheval
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv renard zebre
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv renard escargot
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv cheval zebre
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv cheval escargot
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv zebre escargot
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv jaune verte
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv jaune bleue
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv jaune blanche
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv jaune rouge
c 1 2
c 1 3
c 1 4
c 1 5
c 2 3
c 2 4
c 2 5
c 3 1
c 3 4
c 3 5
c 4 1
c 4 2
c 4 5
c 5 1
c 5 2
c 5 3
cv bleue blanche
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv verte blanche
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv verte bleue
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv blanche rouge
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv verte rouge
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv bleue rouge
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv peintre sculpteur
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv peintre diplomate
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv peintre violoniste
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv peintre docteur
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv diplomate sculpteur
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv sculpteur violoniste
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv sculpteur docteur
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv diplomate violoniste
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv diplomate docteur
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
cv violoniste docteur
c 1 2
c 1 3
c 1 4
c 1 5
c 2 1
c 2 3
c 2 4
c 2 5
c 3 1
c 3 2
c 3 4
c 3 5
c 4 1
c 4 2
c 4 3
c 4 5
c 5 1
c 5 2
c 5 3
c 5 4
